卖方客户,品种,货物编号,货物数量（张）,仓库,品牌,产地,年度,等级,类别
999900000010,CF,CF2020011108449,1,328,,非新疆,1920,2227B,S1U3P3
999900000010,CF,CF2020011101050,8,326,,非新疆,1920,4127B,S2U2P1
999900000011,CF,CF2020011105426,9,310,,新疆,2020,4132B,S3U3P1
999900000011,CF,CF2020011106405,1,307,,非新疆,1920,1229C,S2U2P3
999900000011,CF,CF2020011108587,8,322,,非新疆,1920,3131B,S3U2P3
999900000011,CF,CF2020011101459,8,322,,新疆,2020,2130C,S3U2P3
999900000011,CF,CF2020011105423,3,311,,非新疆,2020,4131A,S2U4P2
999900000011,CF,CF2020011104633,7,307,,非新疆,2020,2127A,S2U4P2
999900000011,CF,CF2020011108983,8,314,,新疆,2020,4128B,S3U2P2
999900000011,CF,CF2020011104952,8,310,,新疆,2020,1129B,S3U4P2
999900000011,CF,CF2020011103345,6,308,,新疆,1920,2128B,S3U2P2
999900000012,CF,CF2020011106813,2,314,,非新疆,2020,2127C,S3U2P3
999900000013,CF,CF2020011106515,2,317,,新疆,2020,1128C,S2U3P1
999900000013,CF,CF2020011104032,1,332,,非新疆,1920,3132B,S1U3P3
999900000013,CF,CF2020011101775,2,307,,新疆,2020,4128C,S3U4P2
999900000013,CF,CF2020011102475,6,306,,新疆,1920,1228A,S3U2P1
999900000013,CF,CF2020011106344,9,308,,非新疆,2020,3130C,S2U2P1
999900000014,CF,CF2020011106909,5,330,,非新疆,1920,1130C,S4U3P3
999900000014,CF,CF2020011101670,5,334,,非新疆,1920,1227C,S3U3P1
999900000014,CF,CF2020011106492,5,325,,新疆,1920,4128A,S4U3P1
999900000014,CF,CF2020011105271,2,331,,非新疆,2020,3128B,S4U4P2
999900000015,CF,CF2020011109460,1,304,,新疆,1920,1229B,S1U2P3
999900000015,CF,CF2020011102786,2,333,,非新疆,1920,1130B,S2U4P2
999900000015,CF,CF2020011107051,1,323,,新疆,2020,1129B,S3U2P3
999900000016,CF,CF2020011105759,6,302,,非新疆,2020,3131B,S4U2P2
999900000016,CF,CF2020011107278,2,332,,非新疆,2020,1130A,S3U4P2
999900000016,CF,CF2020011107956,3,305,,非新疆,2020,1130A,S4U3P2
999900000016,CF,CF2020011105056,9,305,,新疆,2020,4129C,S2U2P2
999900000017,CF,CF2020011107754,3,314,,新疆,1920,1129A,S3U2P2
999900000017,CF,CF2020011102055,5,319,,新疆,2020,1130A,S4U3P3
999900000017,CF,CF2020011100157,4,314,,非新疆,2020,2227A,S4U3P1
999900000017,CF,CF2020011100148,2,320,,新疆,2020,3130C,S1U3P3
999900000017,CF,CF2020011101587,6,335,,非新疆,2020,3129C,S2U2P1
999900000017,CF,CF2020011108284,7,304,,新疆,2020,2129A,S4U3P2
999900000017,CF,CF2020011106945,7,306,,非新疆,1920,4129C,S4U3P3
999900000017,CF,CF2020011107047,4,301,,新疆,1920,4128B,S4U3P1
999900000017,CF,CF2020011104980,4,320,,新疆,1920,4130A,S2U4P2
999900000018,CF,CF2020011106407,8,330,,新疆,1920,4130A,S2U2P1
999900000019,CF,CF2020011106409,6,313,,新疆,1920,2230B,S2U2P3
999900000019,CF,CF2020011101810,1,308,,非新疆,1920,1127C,S4U4P2
999900000019,CF,CF2020011106853,8,331,,新疆,2020,4128B,S4U2P2
999900000019,CF,CF2020011105185,4,311,,非新疆,1920,1130A,S2U2P1
999900000019,CF,CF2020011102041,6,305,,新疆,2020,3128C,S2U3P1
999900000019,CF,CF2020011106918,3,304,,非新疆,2020,4132A,S4U3P1
999900000019,CF,CF2020011107557,8,335,,非新疆,2020,3129C,S2U3P1
999900000020,CF,CF2020011109968,1,333,,新疆,1920,4129C,S2U4P2
999900000020,CF,CF2020011105235,3,304,,非新疆,1920,2230B,S1U3P2
999900000020,CF,CF2020011100997,1,302,,新疆,2020,1131B,S3U2P3
999900000020,CF,CF2020011105078,3,301,,非新疆,2020,3127B,S2U2P3
999900000020,CF,CF2020011108654,6,330,,新疆,2020,1130B,S3U3P1
999900000020,CF,CF2020011106134,1,330,,新疆,1920,3127A,S1U2P3
999900000020,CF,CF2020011103220,4,306,,非新疆,2020,1130C,S4U3P3
999900000021,CF,CF2020011104280,9,311,,新疆,2020,3132B,S1U3P3
999900000021,CF,CF2020011103949,2,324,,新疆,1920,1129A,S1U2P3
999900000021,CF,CF2020011100247,3,308,,新疆,1920,1128B,S2U2P3
999900000021,CF,CF2020011102690,9,326,,新疆,1920,4132B,S2U4P2
999900000021,CF,CF2020011106811,3,323,,非新疆,1920,2127A,S1U2P3
999900000021,CF,CF2020011103836,5,328,,非新疆,1920,2128A,S2U3P1
999900000021,CF,CF2020011102000,1,310,,非新疆,2020,1228A,S3U2P3
999900000022,CF,CF2020011104504,8,311,,新疆,1920,3130A,S1U3P2
999900000022,CF,CF2020011106984,1,309,,新疆,1920,3129A,S1U3P2
999900000023,CF,CF2020011108369,1,335,,新疆,2020,4132A,S4U3P3
999900000023,CF,CF2020011103973,3,333,,非新疆,1920,3128B,S1U2P3
999900000023,CF,CF2020011103397,9,326,,非新疆,1920,2229B,S4U3P2
999900000023,CF,CF2020011103914,5,314,,新疆,2020,3129B,S3U4P2
999900000023,CF,CF2020011108506,4,329,,非新疆,1920,2129B,S3U3P2
999900000023,CF,CF2020011108608,6,328,,新疆,2020,4131B,S3U2P2
999900000023,CF,CF2020011103540,4,304,,非新疆,2020,2229C,S2U2P1
999900000024,CF,CF2020011107876,6,324,,新疆,2020,1229A,S1U3P2
999900000024,CF,CF2020011107974,4,304,,新疆,1920,1130A,S4U3P2
999900000024,CF,CF2020011108059,8,308,,非新疆,2020,3128A,S3U2P3
999900000024,CF,CF2020011101174,6,311,,新疆,1920,1228A,S1U2P3
999900000024,CF,CF2020011103347,3,313,,非新疆,1920,4129C,S4U2P2
999900000024,CF,CF2020011102616,2,329,,非新疆,2020,1227B,S1U3P3
999900000024,CF,CF2020011107912,7,333,,新疆,2020,1128A,S2U2P3
999900000024,CF,CF2020011105403,6,333,,非新疆,1920,1128B,S2U3P3
999900000024,CF,CF2020011108423,7,324,,非新疆,2020,3127C,S4U3P2
999900000025,CF,CF2020011100184,2,330,,新疆,1920,2229C,S3U2P3
999900000025,CF,CF2020011100866,4,317,,非新疆,1920,2128C,S4U4P2
999900000025,CF,CF2020011109834,9,305,,新疆,1920,2131B,S4U3P1
999900000025,CF,CF2020011103399,5,323,,新疆,2020,2230B,S2U3P2
999900000026,CF,CF2020011106976,7,314,,新疆,2020,1129A,S3U2P3
999900000026,CF,CF2020011104417,6,329,,新疆,2020,1228A,S2U3P2
999900000026,CF,CF2020011104149,4,323,,非新疆,1920,4130A,S4U3P2
999900000026,CF,CF2020011106735,9,306,,新疆,1920,3127A,S1U3P3
999900000026,CF,CF2020011108688,5,331,,非新疆,2020,4131B,S3U2P2
999900000027,CF,CF2020011100062,8,309,,新疆,2020,2129C,S4U2P2
999900000027,CF,CF2020011104957,8,329,,非新疆,1920,2128B,S1U2P2
999900000027,CF,CF2020011109859,9,308,,新疆,2020,4130A,S3U2P3
999900000027,CF,CF2020011100257,6,324,,新疆,1920,1229A,S4U3P2
999900000027,CF,CF2020011103089,4,311,,非新疆,1920,4131A,S4U2P2
999900000027,CF,CF2020011102863,2,306,,新疆,1920,4130A,S4U4P2
999900000027,CF,CF2020011102673,1,329,,非新疆,2020,4131B,S3U2P1
999900000028,CF,CF2020011100971,2,310,,新疆,2020,3132B,S3U3P1
999900000028,CF,CF2020011104923,9,332,,非新疆,2020,3128A,S3U2P2
999900000028,CF,CF2020011101415,9,311,,新疆,2020,1127B,S2U3P3
999900000028,CF,CF2020011108203,7,305,,新疆,1920,2127B,S2U3P3
999900000028,CF,CF2020011105084,5,328,,新疆,2020,1128C,S1U3P3
999900000028,CF,CF2020011106170,4,307,,非新疆,1920,2128A,S2U2P3
999900000029,CF,CF2020011101448,2,319,,新疆,1920,4130B,S4U4P2
999900000029,CF,CF2020011100575,6,324,,新疆,1920,1227A,S4U3P3
999900000029,CF,CF2020011104343,9,326,,新疆,2020,1130C,S2U2P1
999900000029,CF,CF2020011101515,4,317,,新疆,2020,1228B,S2U3P3
999900000029,CF,CF2020011108890,3,305,,非新疆,1920,2128A,S3U4P2
999900000029,CF,CF2020011108960,2,325,,非新疆,1920,2129C,S2U3P2
999900000029,CF,CF2020011104081,4,328,,新疆,2020,1128C,S1U3P3
999900000029,CF,CF2020011104258,8,323,,新疆,1920,4131A,S3U3P3
999900000029,CF,CF2020011106009,2,335,,非新疆,2020,1229A,S3U4P2
999900000030,CF,CF2020011109791,8,325,,新疆,2020,1229B,S4U3P2
999900000030,CF,CF2020011108760,6,328,,非新疆,2020,3131B,S3U2P1
999900000031,CF,CF2020011102726,9,334,,新疆,1920,1127C,S4U3P3
999900000031,CF,CF2020011102806,1,331,,非新疆,1920,1230A,S2U3P1
999900000031,CF,CF2020011108313,5,330,,新疆,2020,2128A,S1U3P3
999900000031,CF,CF2020011101660,4,308,,新疆,1920,2227A,S1U3P2
999900000031,CF,CF2020011102505,9,304,,非新疆,2020,1130A,S1U3P2
999900000031,CF,CF2020011109149,2,326,,新疆,1920,2128C,S4U3P3
999900000031,CF,CF2020011102567,2,323,,非新疆,2020,1130B,S1U2P3
999900000031,CF,CF2020011102089,5,320,,新疆,2020,1127B,S4U3P3
999900000031,CF,CF2020011106908,6,314,,非新疆,2020,3130B,S3U3P1
999900000032,CF,CF2020011102008,6,311,,新疆,2020,4128A,S4U4P2
999900000032,CF,CF2020011108196,4,327,,新疆,1920,2228B,S3U3P3
999900000032,CF,CF2020011107331,4,326,,新疆,2020,4129B,S2U2P3
999900000032,CF,CF2020011102024,6,301,,非新疆,2020,4131B,S4U3P1
999900000032,CF,CF2020011107776,5,331,,非新疆,1920,2128A,S3U3P1
999900000032,CF,CF2020011108318,8,335,,新疆,2020,3131B,S2U3P2
999900000032,CF,CF2020011105528,2,314,,新疆,1920,4130C,S3U3P1
999900000033,CF,CF2020011104033,3,324,,新疆,2020,2227B,S2U3P1
999900000033,CF,CF2020011104351,8,314,,非新疆,1920,2131B,S4U4P2
999900000033,CF,CF2020011107638,3,332,,新疆,1920,2229C,S3U2P2
999900000033,CF,CF2020011101847,6,320,,非新疆,1920,2130A,S1U2P3
999900000033,CF,CF2020011109194,1,333,,新疆,2020,3129B,S3U3P3
999900000033,CF,CF2020011109733,4,322,,非新疆,2020,4127B,S3U3P2
999900000034,CF,CF2020011107992,1,310,,非新疆,2020,1128A,S4U3P1
999900000034,CF,CF2020011100491,6,317,,非新疆,1920,1228B,S4U3P2
999900000034,CF,CF2020011109950,3,329,,非新疆,2020,3131A,S1U3P2
999900000035,CF,CF2020011103654,6,322,,新疆,2020,4132B,S4U4P2
999900000035,CF,CF2020011103669,8,332,,新疆,2020,4130C,S3U2P2
999900000035,CF,CF2020011101791,2,323,,非新疆,2020,2229A,S1U3P2
999900000035,CF,CF2020011101948,1,331,,新疆,2020,1230A,S3U3P1
999900000036,CF,CF2020011106724,7,306,,非新疆,1920,3130A,S3U4P2
999900000036,CF,CF2020011109905,4,310,,非新疆,2020,2229C,S4U4P2
999900000036,CF,CF2020011102332,8,327,,新疆,1920,4128A,S4U2P2
999900000036,CF,CF2020011100413,5,302,,非新疆,2020,2228C,S2U2P1
999900000036,CF,CF2020011102549,6,311,,新疆,2020,1229A,S2U3P1
999900000036,CF,CF2020011103664,4,323,,非新疆,2020,3132B,S1U2P2
999900000037,CF,CF2020011101482,3,334,,新疆,1920,1127B,S3U4P2
999900000037,CF,CF2020011109239,6,311,,非新疆,2020,1127C,S3U2P2
999900000037,CF,CF2020011102862,1,313,,非新疆,1920,1129C,S3U3P3
999900000037,CF,CF2020011101458,9,303,,非新疆,2020,3131B,S2U2P2
999900000037,CF,CF2020011109287,7,320,,非新疆,2020,1228C,S2U2P1
999900000037,CF,CF2020011108438,8,335,,非新疆,2020,2131B,S1U3P2
999900000037,CF,CF2020011108887,6,313,,非新疆,1920,2228A,S2U2P1
999900000037,CF,CF2020011107862,2,309,,新疆,1920,4130B,S2U3P1
999900000038,CF,CF2020011104079,5,311,,非新疆,2020,1128A,S2U3P2
999900000038,CF,CF2020011103238,8,332,,非新疆,1920,3131A,S1U3P2
999900000038,CF,CF2020011104068,6,307,,新疆,1920,4130B,S3U2P1
999900000039,CF,CF2020011107066,1,305,,非新疆,2020,1228C,S3U4P2
999900000039,CF,CF2020011107599,9,301,,新疆,1920,2127A,S4U4P2
999900000039,CF,CF2020011102123,7,308,,非新疆,1920,2130B,S1U3P2
999900000039,CF,CF2020011109236,5,331,,新疆,2020,1228C,S3U2P2
999900000039,CF,CF2020011103429,4,323,,非新疆,1920,2131A,S4U3P1
999900000039,CF,CF2020011107936,2,326,,新疆,2020,2227B,S3U3P3
999900000039,CF,CF2020011105337,8,322,,非新疆,1920,2228A,S1U3P3
999900000039,CF,CF2020011106416,9,328,,新疆,1920,4130A,S3U2P1
999900000039,CF,CF2020011106940,4,333,,非新疆,1920,1228B,S3U2P3
999900000040,CF,CF2020011107632,4,329,,非新疆,1920,4128B,S3U3P3
999900000040,CF,CF2020011109976,2,303,,非新疆,2020,1131B,S3U2P3
999900000040,CF,CF2020011101007,1,335,,新疆,2020,4128B,S3U2P1
999900000040,CF,CF2020011101067,9,320,,新疆,1920,1130A,S2U3P2
999900000040,CF,CF2020011107345,8,325,,新疆,1920,3130B,S2U2P2
999900000041,CF,CF2020011104879,5,329,,新疆,1920,4128A,S4U3P1
999900000041,CF,CF2020011105762,3,317,,新疆,1920,2129A,S2U3P2
999900000041,CF,CF2020011103245,7,326,,非新疆,1920,2127C,S2U4P2
999900000041,CF,CF2020011100974,3,332,,非新疆,1920,2129C,S3U3P3
999900000041,CF,CF2020011108200,2,335,,新疆,2020,4132A,S2U2P1
999900000041,CF,CF2020011108896,3,314,,非新疆,1920,1229C,S3U3P2
999900000041,CF,CF2020011101120,5,328,,新疆,1920,1229B,S1U3P3
999900000041,CF,CF2020011100561,2,307,,非新疆,2020,3129A,S2U3P2
999900000041,CF,CF2020011108886,8,306,,新疆,2020,2228B,S2U3P1
999900000042,CF,CF2020011105907,8,306,,非新疆,1920,3127C,S3U2P3
999900000042,CF,CF2020011107862,4,309,,新疆,1920,4130B,S2U3P1
999900000042,CF,CF2020011106438,5,302,,新疆,2020,1229A,S2U4P2
999900000042,CF,CF2020011106841,5,311,,新疆,2020,2128C,S2U3P1
999900000042,CF,CF2020011101010,3,325,,新疆,2020,2130A,S2U2P1
999900000042,CF,CF2020011100621,1,328,,非新疆,2020,3129C,S4U3P2
999900000042,CF,CF2020011105348,9,313,,新疆,1920,4130C,S3U3P3
999900000042,CF,CF2020011100717,7,332,,非新疆,1920,3128B,S4U3P1
999900000043,CF,CF2020011109679,8,306,,非新疆,2020,4128C,S1U2P3
999900000043,CF,CF2020011102051,2,311,,非新疆,1920,4130C,S4U2P2
999900000043,CF,CF2020011107634,6,324,,非新疆,1920,2127B,S3U2P3
999900000044,CF,CF2020011106731,3,301,,非新疆,1920,4131B,S2U2P3
999900000044,CF,CF2020011100993,3,335,,非新疆,1920,2130A,S4U2P2
999900000044,CF,CF2020011106890,2,302,,非新疆,1920,2128C,S4U4P2
999900000044,CF,CF2020011102402,8,301,,非新疆,2020,2229A,S2U2P3
999900000044,CF,CF2020011100791,2,308,,新疆,2020,1229A,S2U4P2
999900000044,CF,CF2020011105118,7,310,,新疆,1920,2128A,S3U2P2
999900000045,CF,CF2020011108223,3,319,,新疆,1920,2228B,S2U3P1
999900000046,CF,CF2020011105029,9,323,,新疆,1920,4131B,S2U3P1
999900000046,CF,CF2020011105557,4,323,,新疆,2020,2131A,S3U2P3
999900000046,CF,CF2020011108440,6,313,,新疆,1920,3129C,S3U3P2
999900000046,CF,CF2020011107399,3,322,,非新疆,1920,1130A,S4U2P2
999900000046,CF,CF2020011108841,5,331,,非新疆,2020,2129C,S2U3P1
999900000046,CF,CF2020011102551,3,317,,非新疆,1920,2129B,S3U3P1
999900000046,CF,CF2020011104922,1,335,,新疆,2020,1128C,S3U4P2
999900000047,CF,CF2020011107834,3,319,,非新疆,2020,2128B,S4U4P2
999900000047,CF,CF2020011100510,7,304,,非新疆,2020,2229B,S2U2P2
999900000047,CF,CF2020011109483,4,309,,非新疆,2020,2227A,S2U3P2
999900000047,CF,CF2020011102743,8,305,,新疆,2020,4130B,S1U2P3
999900000047,CF,CF2020011100693,8,331,,非新疆,2020,3127A,S4U3P2
999900000048,CF,CF2020011102899,2,331,,新疆,2020,2229A,S3U3P1
999900000048,CF,CF2020011100735,3,305,,新疆,2020,1229A,S1U3P3
999900000048,CF,CF2020011107937,3,311,,新疆,1920,2128A,S2U2P1
999900000048,CF,CF2020011101668,5,303,,非新疆,2020,4128C,S4U4P2
999900000048,CF,CF2020011101967,8,323,,新疆,2020,1229C,S4U3P2
999900000048,CF,CF2020011108046,4,335,,新疆,1920,2131A,S4U3P2
999900000048,CF,CF2020011105335,9,311,,非新疆,1920,4128B,S3U2P1
999900000048,CF,CF2020011104266,7,331,,新疆,2020,2127C,S2U3P3
999900000048,CF,CF2020011101542,7,319,,非新疆,1920,1227A,S3U2P2
999900000049,CF,CF2020011101601,7,322,,新疆,1920,1128C,S2U4P2
999900000049,CF,CF2020011104330,4,317,,新疆,1920,2228B,S2U2P3
999900000049,CF,CF2020011107269,1,328,,新疆,1920,3130C,S1U3P3
999900000049,CF,CF2020011104551,2,306,,非新疆,1920,2227B,S2U2P1
999900000049,CF,CF2020011108232,9,307,,非新疆,2020,2128B,S3U3P3
999900000049,CF,CF2020011102820,7,324,,非新疆,1920,2227B,S2U2P1
999900000049,CF,CF2020011104054,8,330,,非新疆,2020,3132B,S2U3P3
999900000050,CF,CF2020011103439,8,309,,非新疆,2020,3128B,S2U3P1
999900000050,CF,CF2020011103259,9,303,,新疆,1920,2127A,S3U3P1
999900000050,CF,CF2020011107222,8,313,,非新疆,1920,2227A,S3U2P2
999900000050,CF,CF2020011100442,2,320,,非新疆,2020,2127B,S3U3P3
999900000051,CF,CF2020011102609,5,331,,非新疆,1920,3129C,S3U3P1
999900000051,CF,CF2020011104313,5,331,,新疆,1920,3130C,S1U3P2
999900000051,CF,CF2020011109954,8,307,,新疆,1920,4132A,S3U2P3
999900000051,CF,CF2020011105200,2,305,,新疆,2020,3130C,S2U3P1
999900000052,CF,CF2020011102125,1,324,,新疆,1920,2229B,S1U2P3
999900000053,CF,CF2020011101515,4,317,,新疆,2020,1228B,S2U3P3
999900000053,CF,CF2020011109054,6,319,,非新疆,1920,2131B,S3U3P2
999900000053,CF,CF2020011102140,5,334,,新疆,2020,1130C,S3U2P3
999900000053,CF,CF2020011105672,8,335,,非新疆,2020,1230B,S3U3P3
999900000054,CF,CF2020011106723,8,330,,非新疆,2020,2228B,S4U3P3
999900000054,CF,CF2020011103443,9,319,,新疆,2020,4129A,S1U3P3
999900000055,CF,CF2020011104626,6,330,,新疆,2020,2129C,S1U2P2
999900000055,CF,CF2020011107990,3,319,,非新疆,2020,3130A,S3U3P2
999900000055,CF,CF2020011105716,2,301,,新疆,2020,4129B,S4U2P2
999900000055,CF,CF2020011107481,1,302,,新疆,2020,1128B,S4U3P2
999900000055,CF,CF2020011106869,1,308,,非新疆,1920,1228A,S3U3P2
999900000055,CF,CF2020011105099,7,333,,新疆,1920,2228C,S3U2P3
999900000055,CF,CF2020011108906,1,319,,非新疆,1920,3129C,S4U3P3
999900000055,CF,CF2020011101535,9,304,,非新疆,1920,2228A,S3U4P2
999900000056,CF,CF2020011106642,9,329,,新疆,1920,1227B,S4U3P3
999900000057,CF,CF2020011101555,4,323,,新疆,2020,2228B,S2U2P3
999900000057,CF,CF2020011108358,1,329,,新疆,1920,1130A,S1U3P3
999900000057,CF,CF2020011100327,7,323,,非新疆,2020,3127B,S1U3P3
999900000057,CF,CF2020011103488,2,327,,新疆,2020,4129A,S3U2P3
999900000057,CF,CF2020011107581,8,311,,新疆,2020,4130A,S2U3P1
999900000057,CF,CF2020011104487,8,317,,非新疆,2020,1131B,S1U2P3
999900000057,CF,CF2020011109646,1,333,,新疆,1920,4129C,S1U2P3
999900000058,CF,CF2020011105280,9,328,,新疆,1920,4127B,S2U2P3
999900000058,CF,CF2020011103555,1,332,,新疆,2020,3129A,S2U3P3
999900000058,CF,CF2020011101270,4,305,,新疆,2020,2130A,S3U2P2
999900000058,CF,CF2020011105145,2,319,,非新疆,1920,1230B,S4U3P3
999900000058,CF,CF2020011101069,1,301,,非新疆,2020,2129B,S1U2P2
999900000059,CF,CF2020011107270,4,302,,非新疆,1920,2130A,S4U3P3
999900000060,CF,CF2020011101601,9,322,,新疆,1920,1128C,S2U4P2
999900000060,CF,CF2020011106100,4,313,,新疆,1920,2131A,S4U2P2
999900000060,CF,CF2020011104154,8,302,,新疆,2020,2227A,S2U2P1
999900000060,CF,CF2020011102726,4,334,,新疆,1920,1127C,S4U3P3
999900000060,CF,CF2020011106221,7,325,,非新疆,1920,3130B,S3U2P2
999900000060,CF,CF2020011102124,2,317,,非新疆,1920,2127B,S3U2P3
999900000060,CF,CF2020011109155,1,307,,非新疆,2020,2228A,S2U4P2
999900000060,CF,CF2020011106113,1,317,,非新疆,2020,1127C,S3U2P3
999900000061,CF,CF2020011107297,9,333,,非新疆,2020,1130B,S2U2P3
999900000061,CF,CF2020011104040,3,329,,新疆,1920,3129A,S2U2P1
999900000061,CF,CF2020011109275,3,303,,新疆,1920,1229C,S2U3P3
999900000061,CF,CF2020011104643,2,324,,非新疆,1920,1229C,S2U2P3
999900000062,CF,CF2020011105687,5,334,,非新疆,2020,4130A,S2U2P2
999900000062,CF,CF2020011107152,4,331,,非新疆,2020,3128C,S4U3P2
999900000062,CF,CF2020011107607,1,330,,新疆,1920,2128B,S3U3P2
999900000062,CF,CF2020011105937,6,332,,非新疆,2020,1229B,S2U3P2
999900000062,CF,CF2020011109020,5,311,,非新疆,1920,2128B,S4U4P2
999900000062,CF,CF2020011106635,4,317,,新疆,2020,3129B,S1U3P3
999900000062,CF,CF2020011100934,4,327,,新疆,2020,2128C,S1U2P2
999900000062,CF,CF2020011107850,5,329,,非新疆,2020,2229A,S4U2P2
999900000062,CF,CF2020011108822,7,335,,新疆,1920,3130C,S3U2P3
999900000063,CF,CF2020011102302,5,334,,非新疆,1920,4132A,S2U3P3
999900000063,CF,CF2020011103980,8,328,,新疆,1920,2130B,S4U4P2
999900000063,CF,CF2020011107630,8,310,,非新疆,2020,1229B,S1U3P2
999900000063,CF,CF2020011109474,9,328,,新疆,1920,4129C,S4U3P1
999900000063,CF,CF2020011108554,3,322,,新疆,2020,1128A,S2U3P3
999900000063,CF,CF2020011109959,2,304,,新疆,1920,1229A,S4U3P1
999900000063,CF,CF2020011101899,4,335,,新疆,1920,4132B,S3U3P1
999900000063,CF,CF2020011102180,6,303,,非新疆,2020,3129B,S3U2P1
999900000063,CF,CF2020011109158,5,334,,非新疆,2020,2131A,S3U3P1
999900000064,CF,CF2020011104277,9,329,,非新疆,2020,1130C,S2U2P3
999900000064,CF,CF2020011105087,1,325,,新疆,2020,2129B,S4U2P2
999900000064,CF,CF2020011107201,7,334,,非新疆,1920,4131B,S3U3P1
999900000064,CF,CF2020011107998,4,335,,非新疆,2020,1130C,S1U3P3
999900000064,CF,CF2020011107864,4,331,,非新疆,2020,2230B,S2U3P2
999900000064,CF,CF2020011106984,3,309,,新疆,1920,3129A,S1U3P2
999900000065,CF,CF2020011109030,5,306,,非新疆,2020,3130B,S4U3P1
999900000065,CF,CF2020011101469,6,306,,新疆,1920,2127B,S2U2P2
999900000065,CF,CF2020011105288,3,303,,非新疆,2020,3132B,S3U2P3
999900000065,CF,CF2020011104440,6,319,,非新疆,1920,3129B,S3U2P2
999900000065,CF,CF2020011100293,3,319,,新疆,2020,2229A,S4U2P2
999900000066,CF,CF2020011106342,4,322,,新疆,1920,2130C,S4U4P2
999900000066,CF,CF2020011103359,1,335,,非新疆,2020,3127C,S2U2P3
999900000066,CF,CF2020011102022,5,305,,新疆,2020,1128C,S3U4P2
999900000066,CF,CF2020011100598,2,330,,新疆,1920,1129C,S4U3P3
999900000066,CF,CF2020011104823,6,320,,非新疆,2020,1230A,S2U4P2
999900000066,CF,CF2020011103761,8,331,,新疆,2020,2131B,S3U3P2
999900000067,CF,CF2020011100651,7,306,,新疆,1920,3128A,S2U3P2
999900000068,CF,CF2020011100881,1,319,,新疆,2020,4131A,S4U3P2
999900000068,CF,CF2020011107553,7,334,,新疆,1920,1228A,S3U3P1
999900000068,CF,CF2020011103650,4,306,,非新疆,2020,4131B,S1U2P3
